Row_ID,Order_of_orders,Order_of_families,Order,Family,Scientific_Name,Common_name,Region,Mountain_Range,ENSM_population,LOWER LIMIT LOW  (LLL) ,UPPER LIMIT LOW  (ULL),LOWER LIMIT HIGH  (LLH),UPPER LIMIT HIGH  (ULH),COMPLETE ENSM MAGNITUDE (min that all Indivs shift),Upper Shift (ULH-ULL),Lower Shift (LLH-LLL),PARTIAL ENSM MAGNITUDE (min that some indivs shift),Complete ENSM? y/n ,Partial ENSM y/n,"Partial ENSM, excludes complete ENSM",Lower Limit Is,Upper Limit is,Breed High or Low?, Non-breeding Elev Range,Breeding Elev Range,latitudinal_migrant (yes=1; 0=no),partial_lat_migrant (yes=1; 0=no),partial_elev_migrant (yes=1; 0=no),References,GBIF DOI
6,4,4,Gruiformes,Gruidae,Anthropoides virgo,Demoiselle Crane,Asia,Tibetan Plateau,,0,655,0,3000,-655,2345,0,2345,no,yes,yes,Non-breeding ,Breeding,High,,,1,0,0,HBW; Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.syatvs
39,4,4,Gruiformes,Gruidae,Grus nigricollis,Black-necked Crane,Asia,Tibetan Plateau,,1375,3050,4000,4860,950,1810,2625,2625,no,yes,yes,Non-breeding ,Breeding,High,1375-3050,4360-4860,1,0,0,Dwyer et al. 1992; Grimmett et al. 1999; HBW,
66,10,17,Passeriformes,Muscicapidae,Phoenicurus auroreus,Daurian Redstart,Asia,Tibetan Plateau,,0,2000,2800,3700,800,1700,2800,2800,no,yes,yes,Non-breeding ,Breeding,High,0-2000,2800-3700,1,1,0,HBW; Grimmett et al. 1999,https://doi.org/10.15468/dl.ki6vog
1,7,10,Accipitriformes,Accipitridae,Accipiter nisus,Eurasian Sparrowhawk,Asia,Himalayas,Nepal,250,1450,2440,4200,990,2750,2190,2750,no,yes,yes,Non-breeding ,Breeding,High,250-1450,2440-4200,0,0,0,Grimmett et al. 1999,
2,6,7,Charadriiformes,Scolopacidae,Actitis hypoleucos,Common Sandpiper,Asia,Himalayas,Pakistan,0,920,2285,3630,1365,2710,2285,2710,no,yes,yes,Non-breeding,Breeding,High,,,1,0,0,Grimmett et al. 1999; HBW; GBIF,https://doi.org/10.15468/dl.yitdcz
3,10,20,Passeriformes,Fringillidae,Agraphospiza rubescens,Blanford's Rosefinch,Asia,Himalayas,India,1300,1800,3100,3800,1300,2000,1800,2000,no,yes,yes,Non-breeding ,Breeding,High,1300-1800,3100-3800,0,0,0,Grimmett et al. 1999; HBW,
4,1,1,Anseriformes,Anatidae,Anser indicus,Bar-headed Goose ,Asia,Himalayas,Nepal ,150,150,5000,5000,4850,4850,4850,4850,yes,yes,no,Non-breeding ,Breeding,High,150,5000,1,0,0,Takekawa et al. 2009,
5,1,1,Anseriformes,Anatidae,Anser indicus,Bar-headed Goose ,Asia,Himalayas,India,200,200,4800,4800,4600,4600,4600,4600,yes,yes,no,Non-breeding ,Breeding,High,200,4800,1,0,0,Takekawa et al. 2009,
7,10,22,Passeriformes,Motacillidae,Anthus hodgsoni,Olive-backed Pipit,Asia,Himalayas,India,0,2000,2700,4000,700,2000,2700,2700,no,yes,yes,Non-breeding ,Breeding,High,0-2000,2700-4000,1,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.8cwwiy
8,10,22,Passeriformes,Motacillidae,Anthus roseatus,Rosy Pipit,Asia,Himalayas,Nepal ,760,1500,4000,5050,2500,3550,3240,3550,yes,yes,no,Non-breeding ,Breeding,High,760-1500,4000-5050,1,0,0,HBW; Grimmett et al. 1999,
9,10,22,Passeriformes,Motacillidae,Anthus trivialis,Tree Pipit,Asia,Himalayas,India,0,1450,2700,4200,1250,2750,2700,2750,no,yes,yes,Non-breeding ,Breeding,High,0-4511,3500-4811,1,1,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.ob9tbp
10,10,17,Passeriformes,Muscicapidae,Brachypteryx montana,White-browed Shortwing,Asia,Himalayas,Nepal,245,2375,2560,3660,185,1285,2315,2315,no,yes,yes,Non-breeding ,Breeding,High,245-2375,2560-3660,0,0,0,Grimmett et al. 1999,
11,10,23,Passeriformes,Alaudidae,Calandrella acutirostris,Hume's Lark,Asia,Himalayas,India,105,300,2000,5000,1700,4700,1895,4700,no,yes,yes,Non-breeding,Breeding,High,,,1,0,0,HBW; Grimmett et al. 1999; Grimmett et al. 2014; GBIF,https://doi.org/10.15468/dl.uid38g
13,10,20,Passeriformes,Fringillidae,Carpodacus erythrinus,Common Rosefinch,Asia,Himalayas,Nepal,275,2000,3350,4000,1350,2000,3075,3075,no,yes,yes,Non-breeding ,Breeding,High,275-2000,3350-4000,1,0,0,Grimmett et al. 1999,
14,10,20,Passeriformes,Fringillidae,Carpodacus rhodochlamys,Red-mantled Rosefinch,Asia,Himalayas,Pakistan,300,2400,2700,3500,300,1100,2400,2400,no,yes,yes,Non-breeding ,Breeding,High,300-2400,2700-3500,0,0,1,Grimmett et al. 1999,
15,10,20,Passeriformes,Fringillidae,Carpodacus rodochroa,Pink-browed Rosefinch,Asia,Himalayas,Nepal,915,3000,3050,3965,50,965,2135,2135,no,yes,yes,Non-breeding ,Breeding,High,915-3000,3050-3965,0,0,0,Grimmett et al. 1999,
16,10,25,Passeriformes,Cettiidae,Cettia brunnifrons,Grey-sided Bush Warbler,Asia,Himalayas,Himalayas (Eastern),75,2200,2700,4115,500,1915,2625,2625,no,yes,yes,Non-breeding ,Breeding,High,75-2200,2700-4000,1,0,0,Grimmett et al. 1999,
17,10,25,Passeriformes,Cettiidae,Cettia flavolivacea,Aberrant Bush Warbler,Asia,Himalayas,Nepal,915,1830,2440,3950,610,2120,1525,2120,no,yes,yes,Non-breeding ,Breeding,High,250-1830,2440-3950,0,0,0,Grimmett et al. 1999,
18,10,25,Passeriformes,Cettiidae,Cettia major,Chestnut-crowned Bush Warbler,Asia,Himalayas,Nepal,90,250,3350,3680,3100,3430,3260,3430,yes,yes,no,Non-breeding ,Breeding,High,0-250,3550-3680,1,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.ada6od
19,10,17,Passeriformes,Muscicapidae,Chaimarrornis leucocephalus,White-capped Redstart,Asia,Himalayas,Nepal,915,1525,1830,5000,305,3475,915,3475,no,yes,yes,Non-breeding ,Breeding,High,,,0,0,0,Grimmett et al. 1999,
20,10,17,Passeriformes,Muscicapidae,Chaimarrornis leucocephalus,White-capped Redstart,Asia,Himalayas,India,30,2880,1830,4880,-1050,2000,1800,2000,no,yes,yes,Non-breeding ,Breeding,High,,,0,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.t07foa
21,6,8,Charadriiformes,Charadriidae,Charadrius mongolus,Lesser Sandplover,Asia,Himalayas,India,0,90,3900,5500,3810,5410,3900,5410,yes,yes,no,Non-breeding ,Breeding,High,,,1,0,0,HBW; Grimmett et al. 1999; Grimmett et al. 2014; GBIF,https://doi.org/10.15468/dl.wjsinw
22,10,20,Passeriformes,Fringillidae,Chloris spinoides,Yellow-breasted Greenfinch,Asia,Himalayas,India,240,1500,2100,3800,600,2300,1860,2300,no,yes,yes,Non-breeding ,Breeding,High,0-4512,3500-4812,1,1,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.q3hexv
23,6,6,Charadriiformes,Laridae,Chroicocephalus brunnicephalus,Brown-headed Gull,Asia,Himalayas,India,0,780,3000,4500,2220,3720,3000,3720,yes,yes,no,Non-breeding ,Breeding,High,0-500,3000-4500,1,0,0,Lei et al. 2007; HBW; Grimmett et al. 1999,https://doi.org/10.15468/dl.keuqal
27,2,2,Columbiformes,Columbidae,Columba rupestris,Hill Pigeon,Asia,Himalayas,India,260,4825,3000,5500,-1825,675,2740,2740,no,yes,yes,Non-breeding ,Breeding,High,,,0,0,0,HBW; Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.w5nsfo
28,3,3,Cuculiformes,Cuculidae,Cuculus saturatus,Himalayan (Oriental) Cuckoo,Asia,Himalayas,India,0,1180,895,3515,-285,2335,895,2335,no,yes,yes,Non-breeding ,Breeding,High,,,1,0,0,HBW; Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.ab4wd2
29,10,24,Passeriformes,Hirundinidae,Delichon dasypus,Asian House Martin,Asia,Himalayas,cashmeriense (India),770,2660,1800,4800,-860,2140,1030,2140,no,yes,yes,Non-breeding ,Breeding,High,45-2660,1800-4800,0,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.vzwjbj
30,10,24,Passeriformes,Hirundinidae,Delichon nipalense,Nepal House Martin,Asia,Himalayas,nipalense (India),300,2000,1000,4000,-1000,2000,700,2000,no,yes,yes,Non-breeding ,Breeding,High,300-2000,1000-4000,0,0,0,Grimmett et al. 1999,
31,10,21,Passeriformes,Emberizidae,Emberiza cia,Rock Bunting,Asia,Himalayas,India,290,2100,2000,4200,-100,2100,1710,2100,no,yes,yes,Non-breeding ,Breeding,High,290-2100,2000-4200,1,0,0,Grimmett et al. 1999; GBIF,https://doi.org/10.15468/dl.8yajnd
32,10,17,Passeriformes,Muscicapidae,Enicurus scouleri,Little Forktail,Asia,Himalayas,Nepal,900,1830,1830,4000,0,2170,930,2170,no,yes,yes,Non-breeding ,Breeding,High,900-1830,1830-4000,0,0,0,Grimmett et al. 1999,
33,10,23,Passeriformes,Alaudidae,Eremophila alpestris,Horned Lark,Asia,Himalayas,longirostris (Pakistan),1500,3000,3300,5100,300,2100,1800,2100,no,yes,yes,Non-breeding ,Breeding,High,450-3000,3300-5100,1,1,0,Grimmett et al. 1999,
34,9,12,Falconiformes,Falconidae,Falco subbuteo,Eurasian Hobby,Asia,Himalayas,India,0,390,1200,5100,810,4710,1200,4710,no,yes,yes,Non-breeding ,Breeding,High,,,1,0,0,Grimmett et al. 1999; Grimmett et al. 2014; GBIF,https://doi.org/10.15468/dl.9sxtmg
35,10,17,Passeriformes,Muscicapidae,Ficedula strophiata,Rufous-gorgeted Flycatcher,Asia,Himalayas,Nepal,245,2135,2440,3800,305,1665,2195,2195,no,yes,yes,Non-breeding ,Breeding,High,335-1800,2440-3800,1,1,0,Barve et al. 2016; HBW,
36,10,17,Passeriformes,Muscicapidae,Ficedula superciliarus,Ultramarine Flycatcher,Asia,Himalayas,India,0,1765,2600,3200,835,1435,2600,2600,no,yes,yes,Non-breeding ,Breeding,High,150-1500,2600-3200,1,1,0,Barve et al. 2016; HBW; GBIF,https://doi.org/10.15468/dl.gyqoe9
37,10,17,Passeriformes,Muscicapidae,Ficedula tricolor,Slaty-blue Flycatcher,Asia,Himalayas,Pakistan,460,1500,2600,3300,1100,1800,2140,2140,no,yes,yes,Non-breeding ,Breeding,High,0-4511,3500-4811,1,1,0,Grimmett et al. 1999,
38,6,7,Charadriiformes,Scolopacidae,Gallinago nemoricola,Wood Snipe,Asia,Himalayas,,5,3000,3000,5000,0,2000,2995,2995,no,yes,yes,Non-breeding ,Breeding,High,0-3000,3000-5000,1,1,0,Grimmett et al. 1999; Khatiwada & Chaudhary 2008; GBIF,https://doi.org/10.15468/dl.mqvxfz
40,10,17,Passeriformes,Muscicapidae,Hodgsonius phaenicuroides,White-bellied Redstart,Asia,Himalayas,Bhutan,305,610,2440,3960,1830,3350,2135,3350,no,yes,yes,Non-breeding ,Breeding,High,305-610,2440-3960,1,0,0,Grimmett et al. 1999,
