original_order,species,ENSM,family,shift_magnitude_m,marker_1000,marker_2000,marker_3000,marker_4000,marker_5000
373,Anser_indicus,complete,Anatidae,4850,1000,2000,3000,4000,5000
1366,Charadrius_mongolus,complete,Charadriidae,3810,1000,2000,3000,4000,5000
4801,Bradypterus_thoracicus,complete,Locustellidae,3105,1000,2000,3000,4000,5000
5385,Cettia_major,complete,Cetiidae,3100,1000,2000,3000,4000,5000
1408,Oreopholus_ruficollis,complete,Charadriidae,3015,1000,2000,3000,4000,5000
5451,Phylloscopus_fuligiventer,complete,Phylloscopidae,2985,1000,2000,3000,4000,5000
1409,Ibidorhyncha_struthersii,complete,Ibidorhynchidae,2885,1000,2000,3000,4000,5000
7621,Anthus_roseatus,complete,Motacillidae,2500,1000,2000,3000,4000,5000
1123,Larus_brunnicephalus,complete,Laridae,2220,1000,2000,3000,4000,5000
5836,Oenanthe_deserti,complete,Muscicapidae,2185,1000,2000,3000,4000,5000
1283,Calidris_bairdii,complete,Scolopacidae,2150,1000,2000,3000,4000,5000
1330,Tringa_totanus,complete,Scolopacidae,2020,1000,2000,3000,4000,5000
726,Abeillia_abeillei,none,Trochilidae,0,1000,2000,3000,4000,5000
5367,Abroscopus_albogularis,none,Cetiidae,0,1000,2000,3000,4000,5000
5368,Abroscopus_schisticeps,none,Cetiidae,0,1000,2000,3000,4000,5000
5366,Abroscopus_superciliaris,none,Cetiidae,0,1000,2000,3000,4000,5000
7981,Accipiter_albogularis,none,Accipitridae,0,1000,2000,3000,4000,5000
7963,Accipiter_badius,none,Accipitridae,0,1000,2000,3000,4000,5000
7986,Accipiter_bicolor,none,Accipitridae,0,1000,2000,3000,4000,5000
7961,Accipiter_brachyurus,none,Accipitridae,0,1000,2000,3000,4000,5000
7954,Accipiter_brevipes,none,Accipitridae,0,1000,2000,3000,4000,5000
7947,Accipiter_butleri,none,Accipitridae,0,1000,2000,3000,4000,5000
7976,Accipiter_castanilius,none,Accipitridae,0,1000,2000,3000,4000,5000
7953,Accipiter_chilensis,none,Accipitridae,0,1000,2000,3000,4000,5000
7956,Accipiter_chionogaster,none,Accipitridae,0,1000,2000,3000,4000,5000
7946,Accipiter_cirrocephalus,none,Accipitridae,0,1000,2000,3000,4000,5000
7952,Accipiter_collaris,none,Accipitridae,0,1000,2000,3000,4000,5000
7987,Accipiter_cooperii,none,Accipitridae,0,1000,2000,3000,4000,5000
7958,Accipiter_erythrauchen,none,Accipitridae,0,1000,2000,3000,4000,5000
7983,Accipiter_erythronemius,none,Accipitridae,0,1000,2000,3000,4000,5000
7945,Accipiter_erythropus,none,Accipitridae,0,1000,2000,3000,4000,5000
7966,Accipiter_fasciatus,none,Accipitridae,0,1000,2000,3000,4000,5000
7960,Accipiter_francesiae,none,Accipitridae,0,1000,2000,3000,4000,5000
7985,Accipiter_gentilis,none,Accipitridae,0,1000,2000,3000,4000,5000
7940,Accipiter_griseiceps,none,Accipitridae,0,1000,2000,3000,4000,5000
7949,Accipiter_gularis,none,Accipitridae,0,1000,2000,3000,4000,5000
7971,Accipiter_gundlachi,none,Accipitridae,0,1000,2000,3000,4000,5000
7967,Accipiter_haplochrous,none,Accipitridae,0,1000,2000,3000,4000,5000
7984,Accipiter_henicogrammus,none,Accipitridae,0,1000,2000,3000,4000,5000
7962,Accipiter_henstii,none,Accipitridae,0,1000,2000,3000,4000,5000
7965,Accipiter_imitator,none,Accipitridae,0,1000,2000,3000,4000,5000
7938,Accipiter_luteoschistaceus,none,Accipitridae,0,1000,2000,3000,4000,5000
7955,Accipiter_madagascariensis,none,Accipitridae,0,1000,2000,3000,4000,5000
7969,Accipiter_melanochlamys,none,Accipitridae,0,1000,2000,3000,4000,5000
